date | value
2012-01-28 | 707
2002-04-12 | 564
2022-01-17 | 147
2024-06-15 | 716
2024-05-23 | 727
2003-12-18 | 389
2017-10-21 | 154
2001-06-19 | 65
2020-02-13 | 349
2018-09-06 | 190
2015-03-06 | 366
2009-05-03 | 510
2024-01-10 | 627
2004-11-25 | 922
2013-10-21 | 666
2014-04-05 | 311
2011-01-17 | 229
2016-11-16 | 456
2006-02-16 | 267
2000-10-10 | 449
2021-08-21 | 977
2024-09-04 | 465
2024-01-04 | 363
2017-12-15 | 303
2024-08-10 | 492
2017-01-18 | 725
2017-05-25 | 194
2008-10-08 | 779
2019-12-06 | 694
2020-01-04 | 421
2017-03-26 | 611
2012-08-12 | 986
2000-09-27 | 519
2008-08-09 | 278
2007-09-17 | 341
2012-05-17 | 606
2016-10-05 | 463
2019-12-22 | 686
2008-07-03 | 720
2010-10-15 | 388
2017-09-20 | 877
2020-09-04 | 627
2017-09-17 | 154
2021-10-18 | 339
2024-06-16 | 668
2004-01-12 | 439
2014-02-16 | 951
2024-02-24 | 991
2005-04-13 | 125
2003-01-06 | 195
2006-02-03 | 804
2014-04-16 | 241
2009-03-02 | 565
2015-09-13 | 456
2023-12-13 | 247
2007-04-19 | 838
2023-08-16 | 153
2014-01-26 | 247
2019-12-28 | 8
2020-03-26 | 854
2020-12-01 | 887
2002-01-25 | 453
2015-09-25 | 672
2003-04-03 | 902
2008-11-16 | 49
2023-09-09 | 444
2011-12-10 | 81
2018-11-13 | 738
2017-01-27 | 45
2011-11-27 | 128
2003-11-22 | 981
2022-04-24 | 407
2022-12-21 | 848
2024-09-05 | 911
2024-06-01 | 993
2004-01-04 | 421
2021-10-07 | 233
2012-09-10 | 865
2023-03-12 | 172
2011-11-09 | 483
2004-09-20 | 181
2016-09-13 | 240
2023-09-06 | 577
2000-06-04 | 521
2007-10-07 | 170
2015-05-28 | 465
2013-07-10 | 976
2000-06-13 | 154
2008-08-16 | 99
2019-12-20 | 193
2020-06-19 | 397
2019-06-27 | 676
2020-06-19 | 185
2024-07-19 | 939
2024-08-13 | 249
2011-05-09 | 519
2019-04-11 | 991
2023-10-21 | 495
2011-11-01 | 532
2007-07-02 | 127
2016-08-01 | 440
2022-11-21 | 222
2009-01-16 | 570
2024-04-10 | 895
2023-08-27 | 246
2023-11-10 | 11
2006-06-21 | 213
2001-02-01 | 95
2016-05-20 | 914
2001-04-09 | 735
2015-08-11 | 939
2016-12-04 | 914
2013-02-17 | 288
2021-10-08 | 577
2019-04-11 | 497
2004-11-25 | 221
2021-05-16 | 972
2022-08-16 | 663
2013-02-15 | 881
2019-06-12 | 384
2015-04-05 | 63
2016-12-13 | 262
2023-07-17 | 227
2024-09-09 | 270
2011-04-19 | 636
2016-10-24 | 605
2023-06-07 | 244
2024-07-09 | 666
2020-01-10 | 614
2004-06-05 | 902
2009-01-27 | 583
2024-03-10 | 637
2022-04-14 | 888
2002-01-02 | 527
2009-01-04 | 333
2022-04-04 | 19
2005-09-06 | 435
2003-03-14 | 64
2006-08-20 | 7
2006-05-10 | 80
2003-11-13 | 807
2022-11-04 | 781
2004-03-07 | 576
2008-10-12 | 613
2022-02-21 | 402
2022-11-27 | 405
2013-06-22 | 419
2019-03-16 | 672
2007-09-24 | 931
2013-11-01 | 892
2021-11-01 | 131
2024-04-13 | 596
2000-02-03 | 847
2010-05-02 | 848
2006-07-21 | 950
2007-12-23 | 164
2016-11-17 | 981
2018-01-02 | 541
2020-06-09 | 94
2013-06-04 | 513
2016-02-14 | 501
2008-11-18 | 139
2015-10-03 | 172
2018-05-13 | 436
2018-09-07 | 139
2024-12-13 | 396
2018-02-27 | 558
2001-06-20 | 92
2002-09-14 | 137
2006-07-25 | 846
2020-03-23 | 465
2008-12-26 | 653
2020-12-09 | 196
2019-02-01 | 412
2005-12-11 | 356
2020-06-05 | 247
2005-06-09 | 688
2016-02-16 | 63
2006-06-13 | 866
2016-03-01 | 512
2003-01-09 | 472
2016-06-25 | 371
2015-07-24 | 760
2000-12-01 | 482
2024-01-03 | 368
2007-02-28 | 841
2015-01-08 | 631
2017-12-04 | 547
2023-09-13 | 789
2009-01-18 | 649
2015-01-02 | 415
2001-06-14 | 800
2016-04-25 | 975
2004-05-05 | 144
2012-09-08 | 6
2011-12-10 | 459
2006-02-14 | 740
2011-07-26 | 701
2010-07-25 | 586
2024-02-04 | 490
2011-12-02 | 317
2011-03-22 | 475
2016-02-06 | 77
2016-08-22 | 447
2016-07-08 | 902
2008-09-08 | 718
2009-12-02 | 110
2015-05-13 | 629
2007-07-19 | 571
2006-01-27 | 674
2003-01-12 | 321
2019-05-21 | 635
2009-12-15 | 142
2016-10-10 | 425
2019-11-25 | 761
2020-05-07 | 977
2010-06-25 | 718
2001-12-17 | 206
2004-01-20 | 150
2013-12-06 | 323
2008-12-02 | 949
2023-07-15 | 494
2004-07-28 | 574
2003-03-21 | 713
2014-05-05 | 192
2005-05-15 | 986
2022-06-05 | 513
2001-07-09 | 934
2005-02-04 | 878
2013-10-21 | 344
2024-05-16 | 679
2003-12-21 | 17
2008-01-06 | 139
2007-04-14 | 81
2011-03-07 | 864
2017-03-27 | 597
2015-02-25 | 880
2021-01-01 | 922
2005-04-10 | 158
2022-07-16 | 706
2001-01-10 | 283
2020-11-02 | 283
2015-12-12 | 232
2019-02-19 | 234
2009-11-11 | 733
2010-11-04 | 743
2011-06-26 | 560
2005-06-27 | 181
2017-12-06 | 213
2015-07-25 | 130
2020-01-12 | 939
2022-02-14 | 384
2005-08-18 | 117
2007-05-05 | 868
2006-11-13 | 688
2018-12-23 | 60
2014-04-14 | 704
2023-07-16 | 770
2024-07-27 | 171
2024-04-28 | 706
2004-09-12 | 261
2001-05-02 | 882
2023-02-08 | 693
2010-10-14 | 875
2011-12-12 | 461
2007-07-24 | 731
2022-06-27 | 171
2006-03-26 | 460
2015-02-22 | 391
2012-11-23 | 535
2015-10-09 | 476
2019-02-12 | 582
2018-03-12 | 325
2003-07-05 | 477
2018-12-06 | 801
2002-11-14 | 67
2006-07-24 | 668
2015-10-12 | 407
2013-08-12 | 384
2021-07-15 | 941
2023-06-28 | 678
2010-08-08 | 555
2015-05-09 | 219
2010-10-24 | 966
2007-03-20 | 247
2014-07-28 | 929
2005-03-22 | 203
2006-04-05 | 106
2017-08-13 | 627
2014-04-12 | 481
2000-12-10 | 835
2013-09-14 | 220
2017-01-05 | 733
2008-12-15 | 65
2021-04-01 | 954
2006-01-21 | 598
2001-05-26 | 615
2015-05-05 | 640
2006-10-04 | 569
2016-09-02 | 983
2021-10-01 | 156
2015-11-10 | 562
2005-06-05 | 663
2003-06-26 | 429
2000-04-13 | 317
2005-02-14 | 11
2019-01-21 | 836
2017-07-16 | 238
2012-09-07 | 528
2018-04-23 | 324
2010-03-20 | 413
2010-02-20 | 13
2021-04-11 | 151
2011-09-24 | 783
2001-08-12 | 893
2000-07-20 | 613
2005-06-22 | 1
2000-12-18 | 60
2014-01-03 | 77
2019-10-23 | 817
2014-05-02 | 753
2012-09-13 | 541
2012-04-15 | 213
2024-03-03 | 32
2001-12-18 | 752
2000-03-21 | 91
2003-11-05 | 400
2011-03-02 | 976
2010-11-22 | 499
2001-02-25 | 714
2001-04-04 | 125
2020-02-22 | 948
2024-03-21 | 974
2006-10-06 | 387
2005-11-12 | 219
2000-09-16 | 635
2020-05-28 | 621
2020-08-12 | 721
2002-03-07 | 99
2021-01-17 | 495
2004-01-14 | 263
2015-04-11 | 173
2004-02-05 | 429
2020-04-10 | 40
2017-05-23 | 164
2006-10-10 | 786
2020-08-06 | 443
2018-02-28 | 450
2011-01-02 | 703
2003-04-13 | 232
2004-05-03 | 649
2009-12-15 | 478
2012-05-19 | 470
2011-12-01 | 833
2015-11-26 | 810
2006-09-01 | 517
2005-02-06 | 384
2017-02-01 | 896
2020-11-07 | 629
2015-09-25 | 804
2000-03-24 | 161
2007-12-28 | 649
2004-01-28 | 861
2019-01-07 | 224
2024-04-09 | 142
2005-02-07 | 175
2013-01-13 | 381
2005-05-02 | 632
2019-01-03 | 53
2023-06-03 | 777
2017-06-11 | 661
2010-10-02 | 335
2001-11-22 | 481
2004-12-01 | 94
2010-02-16 | 792
2004-06-22 | 148
2000-12-02 | 873
2014-12-04 | 533
2019-10-23 | 706
2016-04-02 | 795
2008-11-21 | 164
2019-10-16 | 6
2000-07-23 | 231
2024-04-05 | 277
2023-02-03 | 914
2016-06-08 | 310
2024-02-17 | 917
2006-11-01 | 814
2009-02-16 | 130
2003-11-01 | 780
2003-08-28 | 480
2016-12-10 | 417
2004-04-08 | 922
2017-04-01 | 616
2003-09-22 | 309
2014-11-21 | 699
2016-04-26 | 269
2024-03-22 | 129
2009-09-06 | 875
2010-03-21 | 241
2005-01-08 | 447
2009-04-28 | 639
2024-05-18 | 414
2023-02-22 | 541
2011-11-23 | 37
2018-08-23 | 977
2005-09-26 | 540
2023-10-06 | 528
2021-09-12 | 580
2020-11-09 | 94
2018-06-17 | 293
2000-06-28 | 938
2001-10-08 | 344
2013-02-11 | 593
2023-08-14 | 172
2022-11-13 | 146
2014-01-07 | 309
2024-11-04 | 517
2021-09-08 | 173
2020-07-12 | 321
2022-11-15 | 260
2009-05-02 | 609
2019-11-22 | 891
2006-03-02 | 870
2018-09-08 | 392
2016-08-11 | 938
2003-06-04 | 900
2002-08-03 | 826
2015-05-24 | 1
2009-09-16 | 503
2008-05-15 | 291
2007-01-07 | 552
2002-10-02 | 18
2003-04-17 | 883
2011-09-05 | 463
2001-11-26 | 416
2002-05-19 | 586
2000-02-10 | 60
2002-04-08 | 760
2023-10-21 | 927
2007-02-07 | 187
2018-11-12 | 856
2007-12-08 | 133
2017-10-03 | 219
2018-05-10 | 118
2005-07-11 | 882
2012-07-15 | 813
2022-04-05 | 954
2018-11-15 | 789
2022-10-18 | 79
2024-10-26 | 393
2005-08-17 | 375
2016-02-27 | 896
2021-01-19 | 560
2008-06-14 | 6
2009-07-09 | 52
2004-11-26 | 853
2023-04-26 | 199
2008-07-05 | 490
2019-01-06 | 160
2004-04-21 | 452
2015-07-06 | 698
2011-11-01 | 95
2006-10-09 | 413
2002-10-15 | 603
2011-04-27 | 96
2003-08-19 | 422
2005-09-03 | 37
2019-11-02 | 659
2004-11-11 | 840
2024-03-01 | 557
2010-01-11 | 15
2010-10-07 | 774
2017-01-07 | 598
2021-02-01 | 879
2015-08-09 | 184
2022-10-09 | 826
2020-07-28 | 669
2020-08-27 | 808
2001-02-16 | 336
2015-10-19 | 982
2017-10-13 | 789
2019-02-01 | 811
2010-09-28 | 557
2024-12-05 | 769
2024-08-15 | 122
2016-06-19 | 917
2020-10-22 | 760
2000-05-27 | 519
2003-04-13 | 599
2005-05-23 | 592
2018-02-14 | 718
2003-06-12 | 454
2019-11-13 | 462
2024-03-12 | 269
2015-02-10 | 917
2007-12-22 | 862
2000-02-02 | 482
2003-12-07 | 746
2009-05-13 | 337
2015-09-17 | 862
2009-01-25 | 933
2006-05-15 | 246
2022-08-25 | 206
2006-10-01 | 209
2002-06-08 | 532
2006-11-28 | 492
2019-12-15 | 211
2024-11-06 | 333
2021-07-07 | 329
2008-01-25 | 607
2003-05-22 | 462
2024-06-12 | 151
2016-07-25 | 274
2007-08-15 | 526
2010-05-27 | 810
2024-12-12 | 673
2015-03-19 | 775
2009-11-19 | 690
2024-08-13 | 123
2003-04-16 | 246
2012-12-01 | 370
2005-04-01 | 740
2010-11-07 | 862
2004-11-20 | 471
2012-10-20 | 798
2018-06-13 | 842
2002-05-03 | 957
2015-06-25 | 705
2010-09-24 | 290
2013-08-11 | 951
2016-10-26 | 572
2010-09-04 | 899
2012-03-06 | 705
2024-11-13 | 153
2003-07-07 | 346
2017-11-28 | 179
2020-07-02 | 458
2005-12-26 | 223
2015-11-24 | 227
2024-12-11 | 512
2008-09-06 | 809
2014-06-19 | 244
2016-02-11 | 258
2020-02-06 | 890
2023-11-22 | 681
2014-07-05 | 6
2014-05-27 | 15
2020-05-08 | 780
2015-06-27 | 954
2020-09-20 | 662
2006-02-25 | 477
2014-07-24 | 14
2020-01-08 | 486
2008-05-02 | 272
2008-12-04 | 303
2020-08-28 | 736
2018-02-07 | 238
2007-06-17 | 963
2012-02-25 | 278
2010-05-13 | 555
2003-05-03 | 463
2019-04-24 | 704
2020-08-04 | 165
2021-07-18 | 214
2020-01-05 | 102
2014-06-14 | 976
2005-07-03 | 465
2018-04-21 | 598
2016-07-11 | 587
2007-02-20 | 379
2005-07-18 | 826
2017-11-25 | 264
2021-10-27 | 336
2002-09-01 | 132
2019-08-26 | 12
2020-06-15 | 761
2013-09-01 | 445
2003-12-02 | 458
2016-11-14 | 733
2022-06-11 | 319
2024-01-20 | 128
2002-12-09 | 846
2017-10-15 | 464
2004-06-18 | 619
2024-10-05 | 779
2018-10-15 | 909
2015-04-24 | 540
2008-02-28 | 483
2013-07-04 | 266
2014-01-09 | 184
2008-08-13 | 964
2023-03-20 | 749
2005-01-02 | 124
2018-12-02 | 261
2000-09-14 | 658
2002-01-26 | 491
2007-06-26 | 823
2008-06-24 | 466
2023-01-12 | 448
2011-07-27 | 793
2018-04-18 | 312
2004-12-10 | 656
2012-03-23 | 817
2017-05-01 | 24
2021-02-08 | 354
2017-08-01 | 591
2019-08-08 | 505
2022-10-19 | 40
2024-05-09 | 330
2000-06-19 | 314
2007-06-04 | 149
2019-04-26 | 190
2010-06-25 | 903
2011-05-11 | 555
2022-10-21 | 994
2008-03-27 | 607
2005-04-19 | 557
2020-09-17 | 428
2012-08-14 | 206
2024-04-05 | 59
2007-01-11 | 168
2011-01-28 | 385
2002-04-04 | 985
2022-06-17 | 180
2006-03-18 | 929
2017-06-02 | 904
2019-03-04 | 520
2020-04-12 | 977
2006-03-10 | 569
2010-05-03 | 564
2009-06-10 | 257
2002-07-26 | 659
2009-07-05 | 703
2015-06-09 | 861
2012-08-22 | 733
2011-05-27 | 842
2010-05-04 | 373
2009-06-06 | 544
2006-04-10 | 909
2012-07-17 | 173
2018-05-06 | 660
2007-02-10 | 444
2012-07-26 | 598
2019-01-18 | 829
2004-01-03 | 988
2003-09-05 | 84
2008-10-14 | 720
2002-06-26 | 96
2000-11-17 | 282
2011-07-04 | 923
2009-09-03 | 803
2000-12-26 | 56
2000-12-26 | 553
2006-06-23 | 66
2017-04-03 | 946
2003-05-27 | 78
2006-12-10 | 170
2008-05-18 | 17
2002-08-18 | 953
2011-03-18 | 562
2024-07-24 | 81
2013-10-04 | 7
2020-11-22 | 98
2020-09-01 | 528
2001-10-11 | 984
2008-09-18 | 786
2017-03-08 | 506
2011-01-05 | 86
2011-12-08 | 899
2022-11-27 | 842
2004-04-09 | 326
2009-01-24 | 410
2012-06-15 | 95
2003-01-06 | 273
2001-05-20 | 663
2004-04-02 | 340
2011-09-12 | 783
2011-06-10 | 943
2008-06-18 | 620
2015-09-07 | 152
2011-02-28 | 191
2002-02-13 | 855
2011-08-27 | 990
2017-12-27 | 881
2012-06-01 | 526
2022-03-22 | 183
2015-07-20 | 705
2017-06-02 | 5
2014-02-13 | 191
2021-02-20 | 207
2006-06-19 | 699
2012-05-21 | 776
2008-09-15 | 332
2019-04-24 | 910
2012-11-04 | 781
2008-06-15 | 522
2015-11-11 | 36
2020-06-20 | 604
2007-10-12 | 919
2005-04-25 | 588
2010-07-13 | 182
2024-05-21 | 688
2010-04-22 | 370
2013-12-14 | 630
2018-08-03 | 641
2024-11-26 | 806
2007-01-27 | 137
2012-11-10 | 374
2003-11-25 | 302
2015-01-19 | 652
2012-08-12 | 352
2022-01-20 | 416
2002-06-10 | 651
2013-03-06 | 671
2006-04-17 | 745
2015-11-24 | 194
2015-05-01 | 782
2005-12-03 | 144
2006-06-22 | 829
2004-01-06 | 656
2010-11-24 | 449
2012-02-09 | 918
2008-09-24 | 74
2022-11-09 | 514
2014-01-09 | 247
2011-04-20 | 718
2021-09-28 | 26
2024-01-19 | 610
2004-11-08 | 866
2015-08-21 | 223
2017-08-26 | 90
2010-02-09 | 800
2013-02-16 | 101
2015-03-08 | 636
2008-11-07 | 159
2016-02-18 | 772
2020-01-15 | 962
2017-11-06 | 635
2000-08-22 | 211
2008-02-08 | 898
2013-07-01 | 30
2006-04-24 | 639
2015-10-08 | 808
2009-05-14 | 881
2007-04-08 | 924
2023-02-20 | 975
2022-01-27 | 80
2020-10-24 | 660
2017-12-12 | 624
2000-11-04 | 392
2020-03-02 | 530
2018-07-12 | 900
2005-12-21 | 755
2015-05-16 | 612
2001-10-01 | 98
2023-12-24 | 890
2002-11-03 | 505
2012-07-14 | 607
2000-11-18 | 343
2011-06-24 | 994
2010-09-26 | 552
2012-01-25 | 288
2002-05-28 | 977
2009-07-08 | 938
2000-07-24 | 164
2020-02-24 | 520
2020-06-05 | 432
2016-04-15 | 78
2010-04-27 | 147
2010-03-21 | 814
2008-08-12 | 642
2000-07-02 | 677
2000-09-18 | 720
2023-09-26 | 621
2006-02-06 | 147
2020-12-18 | 556
2012-04-16 | 422
2005-04-09 | 764
2018-08-03 | 395
2023-08-05 | 598
2022-10-16 | 897
2011-09-19 | 567
2000-12-20 | 45
2008-01-26 | 873
2004-06-20 | 909
2000-09-10 | 871
2019-09-15 | 469
2002-04-25 | 951
2012-04-22 | 298
2007-08-27 | 484
2022-10-06 | 157
2006-04-19 | 485
2017-07-04 | 344
2016-01-28 | 937
2008-11-04 | 88
2006-08-28 | 945
2020-09-25 | 329
2016-07-26 | 715
2001-11-13 | 84
2004-04-07 | 373
2010-10-03 | 903
2018-06-25 | 702
2000-08-03 | 756
2003-06-27 | 400
2005-03-14 | 846
2014-03-14 | 267
2016-06-12 | 822
2017-10-13 | 677
2017-03-05 | 88
2007-06-07 | 783
2024-09-28 | 503
2019-06-04 | 999
2022-10-02 | 763
2006-11-11 | 524
2019-03-16 | 288
2009-04-07 | 654
2019-03-11 | 176
2021-09-20 | 396
2020-08-04 | 41
2002-07-10 | 152
2016-03-04 | 75
2001-03-04 | 245
2009-11-06 | 95
2024-08-26 | 818
2002-12-04 | 773
2004-07-26 | 599
2015-09-14 | 770
2006-03-19 | 122
2001-10-06 | 677
2012-10-15 | 223
2024-09-08 | 401
2013-01-04 | 465
2016-07-16 | 695
2000-05-24 | 142
2014-05-21 | 220
2001-07-19 | 2
2024-01-25 | 863
2020-11-16 | 896
2018-03-22 | 182
2005-10-08 | 146
2008-07-23 | 660
2005-10-28 | 644
2006-04-09 | 507
2002-03-06 | 926
2008-10-06 | 603
2002-05-05 | 370
2013-02-25 | 221
2018-05-12 | 454
2019-02-15 | 901
2004-10-06 | 235
2014-02-23 | 591
2003-09-02 | 586
2001-11-19 | 753
2016-03-05 | 281
2020-09-07 | 266
2009-03-01 | 131
2010-03-05 | 242
2010-11-06 | 849
2020-09-13 | 475
2005-06-27 | 81
2021-09-20 | 262
2000-04-21 | 597
2018-11-04 | 680
2020-08-04 | 108
2024-08-11 | 634
2002-12-20 | 225
2003-12-21 | 335
2011-03-06 | 959
2020-09-03 | 420
2019-07-19 | 662
2016-02-07 | 137
2021-02-10 | 995
2007-08-02 | 234
2003-01-20 | 934
2020-05-06 | 731
2003-11-19 | 49
2017-01-10 | 613
2007-08-17 | 899
2004-07-17 | 650
2007-06-02 | 289
2011-11-28 | 114
2023-12-13 | 293
2003-03-13 | 233
2008-03-23 | 703
2008-09-05 | 417
2001-01-05 | 480
2019-05-27 | 151
2020-08-01 | 381
2009-08-13 | 307
2010-09-25 | 665
2016-09-20 | 275
2022-10-07 | 782
2016-03-08 | 693
2014-05-02 | 858
2003-05-02 | 374
2012-10-12 | 297
2001-12-21 | 287
2023-10-01 | 66
2012-12-06 | 984
2014-08-19 | 782
2014-11-16 | 205
2013-06-24 | 166
2011-05-21 | 848
2008-01-02 | 861
2024-11-05 | 399
2013-06-27 | 600
2008-04-18 | 449
2004-12-01 | 93
2023-12-15 | 263
2014-02-11 | 125
2020-11-15 | 530
2020-08-20 | 222
2002-01-14 | 640
2024-12-18 | 409
2022-07-20 | 726
2012-08-04 | 663
2002-02-15 | 619
2015-09-09 | 135
2008-11-02 | 705
2019-09-28 | 171
2002-10-01 | 701
2015-02-04 | 939
2014-11-14 | 576
2017-05-12 | 971
2013-03-03 | 655
2003-08-15 | 961
2005-08-28 | 651
2018-07-08 | 572
2001-08-11 | 892
2021-06-28 | 87
2013-06-28 | 880
2018-04-12 | 159
2000-07-19 | 55
2004-10-10 | 886
2018-05-19 | 36
2011-02-06 | 238
2002-08-19 | 500
2001-06-20 | 791
2020-03-04 | 664
2011-07-20 | 38
2018-06-23 | 149
2000-08-13 | 119
2003-07-04 | 889
2016-05-28 | 395
2005-06-28 | 83
2008-03-11 | 253
2015-10-22 | 54
2022-01-13 | 792
2013-03-23 | 788
2003-11-28 | 556
2010-04-15 | 951
2010-02-19 | 643
2018-02-11 | 626
2006-06-12 | 271
2000-10-02 | 974
2024-11-16 | 787
2008-06-05 | 662
2018-08-15 | 703
2004-05-27 | 190
2021-05-14 | 941
2024-12-08 | 780
2012-03-20 | 715
2005-06-26 | 5
2024-09-09 | 159
2017-05-10 | 612
2008-09-16 | 862
2010-02-21 | 758
2002-06-12 | 26
2024-11-19 | 13
2000-03-25 | 180
2018-03-02 | 494
2001-11-10 | 96
2000-04-09 | 958
2021-01-26 | 683
2022-02-23 | 75
2013-10-22 | 964
2020-05-10 | 345
2001-11-22 | 169
2024-12-12 | 350
2016-09-27 | 443
2022-12-07 | 770
2008-04-11 | 580
2002-09-28 | 615
2022-10-04 | 669
2023-10-07 | 599
2015-05-01 | 91
2005-12-06 | 348
2003-09-24 | 3
2024-10-10 | 982
2022-04-11 | 625
2004-03-05 | 329
2006-01-19 | 456
2008-10-24 | 400
2009-08-12 | 916
2012-05-13 | 817
2005-12-21 | 679
2007-11-14 | 129
2000-01-07 | 57
2000-08-03 | 233
2023-01-18 | 8
2003-09-21 | 414
2000-08-23 | 989
2014-11-11 | 820
2010-04-28 | 67
2023-02-09 | 450
2020-12-12 | 347
2004-10-25 | 929
2007-10-26 | 787
2021-10-11 | 748
2000-09-26 | 891
2010-12-08 | 945
2022-12-05 | 447
2009-05-15 | 629
2019-02-17 | 273
2001-01-23 | 985
2010-04-05 | 358
2015-03-07 | 192
2015-12-21 | 802
2015-12-12 | 965
2016-04-21 | 250
2000-11-28 | 647
2020-12-17 | 423
2023-12-17 | 108
2020-01-07 | 211
2015-05-20 | 182
2021-12-01 | 914
2018-04-16 | 809
2021-08-21 | 273
2008-08-25 | 430
2005-02-22 | 78
2020-06-16 | 690
2001-02-06 | 468
2009-06-07 | 457
2002-03-16 | 947
2019-07-14 | 967
2021-10-10 | 904
2014-02-19 | 719
2008-04-19 | 78
2004-10-22 | 57
2023-11-27 | 384
2010-05-27 | 640
2015-10-12 | 936
2016-09-25 | 62
2017-10-27 | 382
2012-01-06 | 421
2018-04-08 | 399
2019-09-05 | 43
2022-11-08 | 434
2015-10-27 | 82
2010-11-27 | 3
2012-03-22 | 632
2021-04-11 | 134
2014-04-16 | 634
2023-11-06 | 67
2004-06-03 | 78
2005-11-17 | 447
2009-08-06 | 346
2007-08-02 | 71
2022-03-20 | 593
2003-06-04 | 944
2012-11-27 | 312
2020-12-16 | 476
2009-07-19 | 741
2007-07-17 | 243
2011-02-07 | 718
2016-04-11 | 438
2010-02-25 | 615
2013-04-25 | 452
2000-11-09 | 547
2006-04-28 | 667
2012-06-09 | 421
2024-01-26 | 761
2017-04-12 | 633
2000-10-13 | 12
2015-09-01 | 30
2019-09-07 | 721
2007-11-01 | 188
2020-08-24 | 135
2020-08-01 | 920
2015-02-02 | 932
2007-01-03 | 783
2009-03-24 | 601
2021-04-16 | 365
2019-02-24 | 402
2015-12-11 | 860
2001-11-28 | 923
2019-01-24 | 385
2004-05-22 | 362
2016-04-22 | 227
2000-01-21 | 23
2024-08-18 | 495
2024-05-14 | 691
2012-09-28 | 238
2019-12-19 | 163
2007-10-05 | 336
2011-03-07 | 679
2007-04-15 | 735
2021-07-07 | 372
2020-12-04 | 821
2004-06-05 | 567
2011-12-22 | 707
2018-08-27 | 525
2002-04-15 | 263
2022-09-23 | 554
2016-01-26 | 412
2009-01-21 | 831
2001-12-01 | 931
2022-09-23 | 133
2008-12-13 | 302
2023-12-16 | 300
2017-02-12 | 639
2010-10-22 | 526
2007-08-07 | 343
2014-03-11 | 190
2002-03-14 | 550
2021-08-16 | 329
2002-09-16 | 250
2022-12-23 | 589
2006-10-09 | 566
2024-10-09 | 83
2014-07-03 | 603
2008-09-27 | 238
2011-08-21 | 232
2018-12-26 | 570
2007-06-13 | 454
2012-07-12 | 968
2018-08-16 | 269
2003-08-25 | 117
2018-11-06 | 226
2013-08-09 | 324
2017-09-09 | 485
2009-06-08 | 943
2020-12-03 | 834
2005-06-24 | 248
2023-11-14 | 278
2002-10-28 | 495
2005-09-07 | 545
2018-03-02 | 638
2024-10-24 | 35
2001-08-11 | 373
2014-01-13 | 172
2001-08-01 | 51
2009-07-18 | 186
2015-09-23 | 271
2001-09-25 | 696
2000-03-03 | 549
2017-03-25 | 470
2020-12-01 | 211
2018-09-16 | 221
2021-01-25 | 580
2000-10-27 | 365
2009-09-21 | 335
2008-02-16 | 611
2020-03-05 | 362
2007-10-02 | 629
2014-06-13 | 359
2010-05-10 | 256
2011-10-05 | 586
2011-03-16 | 245
2005-01-09 | 15
2001-12-15 | 996
2012-08-03 | 969
2015-12-03 | 656
2024-08-24 | 61
2019-09-10 | 155
2006-10-10 | 17
2012-05-19 | 919
2017-03-19 | 545
2013-02-22 | 951
2006-05-21 | 696
2024-08-01 | 776
2016-12-14 | 85
2020-12-13 | 526
2018-06-12 | 880
2008-02-16 | 178
2007-11-16 | 972
2003-02-16 | 459
2000-05-08 | 776
2021-04-09 | 489
